weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
nan,Next day by 8 or 8:30 a.m.4,"448.93
462.69
464.08
464.88
476.08",448.93462.69464.08464.88476.08,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"482.39
484.08
506.16
513.87
521.69",482.39484.08506.16513.87521.69,,,17,1
nan,Next day by 8 or 8:30 a.m.4,"527.28
528.73
537.79
538.70",527.28528.73537.79538.70,,,17,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,17,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 63.70,63.70,63.7,8.0,17,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,17,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 103.80
110.68
128.81
139.90
141.84",103.80110.68128.81139.90141.84,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"162.69
169.81
179.84
180.85
182.60",162.69169.81179.84180.85182.60,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"217.53
222.10
241.81
243.79
245.05",217.53222.10241.81243.79245.05,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"269.84
272.32
272.58
272.83
273.63",269.84272.32272.58272.83273.63,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"289.29
303.57
320.17
326.63
327.47",289.29303.57320.17326.63327.47,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"335.66
337.90
351.52
361.64
363.20",335.66337.90351.52361.64363.20,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"375.63
377.44
399.63
408.07
411.88",375.63377.44399.63408.07411.88,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"417.93
431.69
433.08
433.88
445.08",417.93431.69433.08433.88445.08,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"451.39
453.08
475.16
482.87
490.69",451.39453.08475.16482.87490.69,,,17,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"496.28
497.73
506.79
507.70",496.28497.73506.79507.70,,,17,1
FedEx® Envelope,Next day by 5 p.m.6,"FedEx
Standard
Overnight®",,,,17,1
up to 8 oz.,Next day by 5 p.m.6,$ 59.82,59.82,59.82,8.0,17,1
FedEx® Pak,Next day by 5 p.m.6,*,,,,17,1
Fed,Next day by 5 p.m.6,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 5 p.m.6,"$ 91.30
104.58
114.01
124.08
128.00",91.30104.58114.01124.08128.00,,,17,1
nan,Next day by 5 p.m.6,"141.65
153.76
163.11
174.94
176.13",141.65153.76163.11174.94176.13,,,17,1
nan,Next day by 5 p.m.6,"198.60
209.41
220.50
230.12
237.74",198.60209.41220.50230.12237.74,,,17,1
nan,Next day by 5 p.m.6,"241.63
247.11
252.43
258.08
266.38",241.63247.11252.43258.08266.38,,,17,1
nan,Next day by 5 p.m.6,"276.19
295.93
299.15
303.06
306.58",276.19295.93299.15303.06306.58,,,17,1
nan,Next day by 5 p.m.6,"317.73
322.90
330.49
340.56
342.10",317.73322.90330.49340.56342.10,,,17,1
nan,Next day by 5 p.m.6,"354.46
356.26
375.00
386.82
394.22",354.46356.26375.00386.82394.22,,,17,1
nan,Next day by 5 p.m.6,"396.53
409.64
415.51
418.88
423.54",396.53409.64415.51418.88423.54,,,17,1
nan,Next day by 5 p.m.6,"429.81
431.48
453.44
461.09
473.22",429.81431.48453.44461.09473.22,,,17,1
nan,Next day by 5 p.m.6,"474.44
480.41
484.88
490.32",474.44480.41484.88490.32,,,17,1
FedEx® Envelope,2nd day by 10:30 a.m. or 11 a.m.5,"FedEx
2Day® A.M.",2..,,,17,1
up to 8 oz.,2nd day by 10:30 a.m. or 11 a.m.5,$ 45.58,45.58,45.58,8.0,17,1
FedEx® Pak,2nd day by 10:30 a.m. or 11 a.m.5,*,,,,17,1
Fed,2nd day by 10:30 a.m. or 11 a.m.5,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 10:30 a.m. or 11 a.m.5,"$ 49.62
57.18
66.21
77.04
85.81",49.6257.1866.2177.0485.81,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"95.28
105.85
116.64
125.56
136.58",95.28105.85116.64125.56136.58,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"141.06
159.94
164.66
174.76
181.08",141.06159.94164.66174.76181.08,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"188.75
204.10
209.13
222.93
225.73",188.75204.10209.13222.93225.73,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"234.43
243.07
255.74
265.74
270.10",234.43243.07255.74265.74270.10,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"284.55
289.54
293.19
298.69
302.54",284.55289.54293.19298.69302.54,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"318.24
319.83
328.34
349.63
351.87",318.24319.83328.34349.63351.87,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"362.37
363.43
364.93
390.47
397.42",362.37363.43364.93390.47397.42,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"420.31
430.68
436.03
437.09
450.02",420.31430.68436.03437.09450.02,,,17,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"459.27
460.20
461.66
472.62",459.27460.20461.66472.62,,,17,1
FedEx® Envelope,2nd day by 5 p.m.6,"FedEx
2Day®",2,2.0,,17,1
up to 8 oz.,2nd day by 5 p.m.6,$ 42.67,42.67,42.67,8.0,17,1
FedEx® Pak,2nd day by 5 p.m.6,*,,,,17,1
Fed,2nd day by 5 p.m.6,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 5 p.m.6,"$ 42.67
50.07
58.00
66.24
73.79",42.6750.0758.0066.2473.79,,,17,1
nan,2nd day by 5 p.m.6,"82.01
88.65
100.29
109.98
119.63",82.0188.65100.29109.98119.63,,,17,1
nan,2nd day by 5 p.m.6,"128.23
132.09
144.23
149.91
158.49",128.23132.09144.23149.91158.49,,,17,1
nan,2nd day by 5 p.m.6,"166.61
174.61
175.43
191.69
198.27",166.61174.61175.43191.69198.27,,,17,1
nan,2nd day by 5 p.m.6,"205.08
212.92
219.91
222.90
236.57",205.08212.92219.91222.90236.57,,,17,1
nan,2nd day by 5 p.m.6,"244.70
252.92
259.45
265.94
273.13",244.70252.92259.45265.94273.13,,,17,1
nan,2nd day by 5 p.m.6,"279.04
286.79
293.39
300.68
307.30",279.04286.79293.39300.68307.30,,,17,1
nan,2nd day by 5 p.m.6,"315.22
326.43
334.91
343.82
352.25",315.22326.43334.91343.82352.25,,,17,1
nan,2nd day by 5 p.m.6,"361.44
370.35
377.22
383.63
390.81",361.44370.35377.22383.63390.81,,,17,1
nan,2nd day by 5 p.m.6,"397.12
397.77
407.38
408.35",397.12397.77407.38408.35,,,17,1
FedEx® Envelope,3rd day by 5 p.m.6,"FedEx
Express
Saver®",,,,17,1
up to 8 oz.,3rd day by 5 p.m.6,$ 35.90,35.90,35.9,8.0,17,1
FedEx® Pak,3rd day by 5 p.m.6,*,,,,17,1
Fed,3rd day by 5 p.m.6,,,,,17,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,3rd day by 5 p.m.6,"$ 35.90
40.00
44.76
51.17
56.49",35.9040.0044.7651.1756.49,,,17,1
nan,3rd day by 5 p.m.6,"62.75
71.00
77.72
85.29
91.78",62.7571.0077.7285.2991.78,,,17,1
nan,3rd day by 5 p.m.6,"98.42
104.65
105.29
110.68
120.92",98.42104.65105.29110.68120.92,,,17,1
nan,3rd day by 5 p.m.6,"127.23
127.87
139.67
143.46
143.95",127.23127.87139.67143.46143.95,,,17,1
nan,3rd day by 5 p.m.6,"153.43
154.39
167.17
168.46
178.77",153.43154.39167.17168.46178.77,,,17,1
nan,3rd day by 5 p.m.6,"184.94
191.43
197.28
203.15
203.75",184.94191.43197.28203.15203.75,,,17,1
nan,3rd day by 5 p.m.6,"209.09
210.59
216.04
221.12
226.70",209.09210.59216.04221.12226.70,,,17,1
nan,3rd day by 5 p.m.6,"231.35
236.00
240.73
253.34
254.62",231.35236.00240.73253.34254.62,,,17,1
nan,3rd day by 5 p.m.6,"254.91
260.27
266.07
271.74
277.41",254.91260.27266.07271.74277.41,,,17,1
nan,3rd day by 5 p.m.6,"287.64
288.68
308.67
311.73",287.64288.68308.67311.73,,,17,1
