weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
nan,2nd day by 10:30 a.m. or 11 a.m.5,"155.17
155.53
161.37
161.96
169.64",155.17155.53161.37161.96169.64,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"171.60
177.19
181.14
188.79
195.19",171.60177.19181.14188.79195.19,,,8,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"199.07
199.48
206.04
206.72",199.07199.48206.04206.72,,,8,1
FedEx® Envelope,2nd day by 5 p.m.6,"FedEx
2Day®",2,2.0,,8,1
up to 8 oz.,2nd day by 5 p.m.6,$ 27.42,27.42,27.42,8.0,8,1
FedEx® Pak,2nd day by 5 p.m.6,*,,,,8,1
Fed,2nd day by 5 p.m.6,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 5 p.m.6,"$ 27.42
28.48
30.16
32.65
35.49",27.4228.4830.1632.6535.49,,,8,1
nan,2nd day by 5 p.m.6,"38.68
41.96
44.90
48.51
52.25",38.6841.9644.9048.5152.25,,,8,1
nan,2nd day by 5 p.m.6,"54.65
57.65
59.86
63.77
66.88",54.6557.6559.8663.7766.88,,,8,1
nan,2nd day by 5 p.m.6,"69.79
72.81
75.46
77.70
80.70",69.7972.8175.4677.7080.70,,,8,1
nan,2nd day by 5 p.m.6,"83.73
86.04
89.13
91.98
93.73",83.7386.0489.1391.9893.73,,,8,1
nan,2nd day by 5 p.m.6,"97.21
99.68
101.98
104.99
108.63",97.2199.68101.98104.99108.63,,,8,1
nan,2nd day by 5 p.m.6,"111.56
114.74
117.93
120.41
123.01",111.56114.74117.93120.41123.01,,,8,1
nan,2nd day by 5 p.m.6,"125.56
128.60
131.85
134.07
137.26",125.56128.60131.85134.07137.26,,,8,1
nan,2nd day by 5 p.m.6,"138.86
141.69
143.85
147.11
149.25",138.86141.69143.85147.11149.25,,,8,1
nan,2nd day by 5 p.m.6,"152.25
154.79
157.54
157.86",152.25154.79157.54157.86,,,8,1
FedEx® Envelope,3rd day by 5 p.m.6,"FedEx
Express
Saver®",,,,8,1
up to 8 oz.,3rd day by 5 p.m.6,$ 23.90,23.90,23.9,8.0,8,1
FedEx® Pak,3rd day by 5 p.m.6,*,,,,8,1
Fed,3rd day by 5 p.m.6,,,,,8,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,3rd day by 5 p.m.6,"$ 23.90
24.35
27.02
29.38
30.99",23.9024.3527.0229.3830.99,,,8,1
nan,3rd day by 5 p.m.6,"35.40
38.26
39.57
42.23
43.33",35.4038.2639.5742.2343.33,,,8,1
nan,3rd day by 5 p.m.6,"47.78
52.13
53.24
57.76
60.34",47.7852.1353.2457.7660.34,,,8,1
nan,3rd day by 5 p.m.6,"62.44
65.04
67.53
69.88
71.23",62.4465.0467.5369.8871.23,,,8,1
nan,3rd day by 5 p.m.6,"73.58
76.79
81.90
83.97
86.75",73.5876.7981.9083.9786.75,,,8,1
nan,3rd day by 5 p.m.6,"89.59
92.98
95.31
98.06
98.34",89.5992.9895.3198.0698.34,,,8,1
nan,3rd day by 5 p.m.6,"101.20
104.08
108.33
108.76
111.91",101.20104.08108.33108.76111.91,,,8,1
nan,3rd day by 5 p.m.6,"116.10
116.53
119.88
122.08
122.33",116.10116.53119.88122.08122.33,,,8,1
nan,3rd day by 5 p.m.6,"126.72
129.60
132.02
134.96
135.39",126.72129.60132.02134.96135.39,,,8,1
nan,3rd day by 5 p.m.6,"143.47
144.29
144.55
144.78",143.47144.29144.55144.78,,,8,1
