weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
nan,Next day by 8 or 8:30 a.m.4,"381.67
391.24
406.44
408.41
409.13",381.67391.24406.44408.41409.13,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"416.93
429.51
445.38
447.25
451.12",416.93429.51445.38447.25451.12,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"460.04
474.60
476.07
477.41
484.99",460.04474.60476.07477.41484.99,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"497.98
515.16
529.22
544.02
545.51",497.98515.16529.22544.02545.51,,,20,1
nan,Next day by 8 or 8:30 a.m.4,"565.42
567.42
567.74
568.00",565.42567.42567.74568.00,,,20,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,20,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 66.62,66.62,66.62,8.0,20,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,20,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 106.55
122.02
133.39
145.16
146.36",106.55122.02133.39145.16146.36,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"169.69
181.30
186.94
187.52
189.17",169.69181.30186.94187.52189.17,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"221.89
226.56
246.66
248.68
249.96",221.89226.56246.66248.68249.96,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"275.24
277.78
278.04
278.29
279.68",275.24277.78278.04278.29279.68,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"307.16
317.58
326.59
333.17
334.02",307.16317.58326.59333.17334.02,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"350.67
360.24
375.44
377.41
378.13",350.67360.24375.44377.41378.13,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"385.93
398.51
414.38
416.25
420.12",385.93398.51414.38416.25420.12,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"429.04
443.60
445.07
446.41
453.99",429.04443.60445.07446.41453.99,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"466.98
484.16
498.22
513.02
514.51",466.98484.16498.22513.02514.51,,,20,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"534.42
536.42
536.74
537.00",534.42536.42536.74537.00,,,20,1
FedEx® Envelope,Next day by 5 p.m.6,"FedEx
Standard
Overnight®",,,,20,1
up to 8 oz.,Next day by 5 p.m.6,$ 62.56,62.56,62.56,8.0,20,1
FedEx® Pak,Next day by 5 p.m.6,*,,,,20,1
Fed,Next day by 5 p.m.6,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 5 p.m.6,"$ 95.35
110.55
120.84
132.30
135.21",95.35110.55120.84132.30135.21,,,20,1
nan,Next day by 5 p.m.6,"150.71
162.56
171.12
183.84
185.46",150.71162.56171.12183.84185.46,,,20,1
nan,Next day by 5 p.m.6,"204.59
215.52
225.91
237.11
245.05",204.59215.52225.91237.11245.05,,,20,1
nan,Next day by 5 p.m.6,"252.26
257.64
262.05
271.34
272.47",252.26257.64262.05271.34272.47,,,20,1
nan,Next day by 5 p.m.6,"291.55
303.90
305.14
311.89
316.07",291.55303.90305.14311.89316.07,,,20,1
nan,Next day by 5 p.m.6,"329.64
345.24
354.28
356.25
360.34",329.64345.24354.28356.25360.34,,,20,1
nan,Next day by 5 p.m.6,"370.93
380.82
392.99
398.61
402.50",370.93380.82392.99398.61402.50,,,20,1
nan,Next day by 5 p.m.6,"407.58
425.74
427.56
431.41
432.39",407.58425.74427.56431.41432.39,,,20,1
nan,Next day by 5 p.m.6,"451.98
462.38
482.92
495.94
497.25",451.98462.38482.92495.94497.25,,,20,1
nan,Next day by 5 p.m.6,"512.39
514.47
514.68
515.00",512.39514.47514.68515.00,,,20,1
FedEx® Envelope,2nd day by 10:30 a.m. or 11 a.m.5,"FedEx
2Day® A.M.",2..,,,20,1
up to 8 oz.,2nd day by 10:30 a.m. or 11 a.m.5,$ 46.52,46.52,46.52,8.0,20,1
FedEx® Pak,2nd day by 10:30 a.m. or 11 a.m.5,*,,,,20,1
Fed,2nd day by 10:30 a.m. or 11 a.m.5,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 10:30 a.m. or 11 a.m.5,"$ 50.70
60.23
70.38
80.09
91.12",50.7060.2370.3880.0991.12,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"99.82
109.96
120.98
132.81
142.65",99.82109.96120.98132.81142.65,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"143.90
166.37
172.87
178.27
184.72",143.90166.37172.87178.27184.72,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"192.53
208.19
213.32
228.71
230.25",192.53208.19213.32228.71230.25,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"239.12
257.24
266.76
271.24
275.52",239.12257.24266.76271.24275.52,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"293.52
295.34
299.06
304.67
308.60",293.52295.34299.06304.67308.60,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"324.61
326.24
334.91
362.55
365.32",324.61326.24334.91362.55365.32,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"370.21
370.71
372.23
402.35
405.37",370.21370.71372.23402.35405.37,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"433.45
443.73
444.76
445.84
459.03",433.45443.73444.76445.84459.03,,,20,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"468.46
469.42
470.90
482.08",468.46469.42470.90482.08,,,20,1
FedEx® Envelope,2nd day by 5 p.m.6,"FedEx
2Day®",2,2.0,,20,1
up to 8 oz.,2nd day by 5 p.m.6,$ 43.54,43.54,43.54,8.0,20,1
FedEx® Pak,2nd day by 5 p.m.6,*,,,,20,1
Fed,2nd day by 5 p.m.6,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 5 p.m.6,"$ 43.54
52.69
60.45
68.81
78.29",43.5452.6960.4568.8178.29,,,20,1
nan,2nd day by 5 p.m.6,"83.66
90.45
103.93
114.08
123.41",83.6690.45103.93114.08123.41,,,20,1
nan,2nd day by 5 p.m.6,"133.71
134.74
151.26
152.92
165.23",133.71134.74151.26152.92165.23,,,20,1
nan,2nd day by 5 p.m.6,"172.24
180.24
181.05
197.14
204.48",172.24180.24181.05197.14204.48,,,20,1
nan,2nd day by 5 p.m.6,"209.41
217.53
224.98
227.36
246.46",209.41217.53224.98227.36246.46,,,20,1
nan,2nd day by 5 p.m.6,"253.25
261.21
267.53
275.50
282.47",253.25261.21267.53275.50282.47,,,20,1
nan,2nd day by 5 p.m.6,"290.03
297.03
304.59
312.08
313.45",290.03297.03304.59312.08313.45,,,20,1
nan,2nd day by 5 p.m.6,"321.54
336.61
345.79
354.78
362.62",321.54336.61345.79354.78362.62,,,20,1
nan,2nd day by 5 p.m.6,"372.42
381.77
389.74
397.41
403.34",372.42381.77389.74397.41403.34,,,20,1
nan,2nd day by 5 p.m.6,"412.04
412.92
416.20
416.53",412.04412.92416.20416.53,,,20,1
FedEx® Envelope,3rd day by 5 p.m.6,"FedEx
Express
Saver®",,,,20,1
up to 8 oz.,3rd day by 5 p.m.6,$ 39.86,39.86,39.86,8.0,20,1
FedEx® Pak,3rd day by 5 p.m.6,*,,,,20,1
Fed,3rd day by 5 p.m.6,,,,,20,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,3rd day by 5 p.m.6,"$ 39.86
46.30
52.29
59.82
67.10",39.8646.3052.2959.8267.10,,,20,1
nan,3rd day by 5 p.m.6,"76.31
79.48
86.79
98.57
106.27",76.3179.4886.7998.57106.27,,,20,1
nan,3rd day by 5 p.m.6,"113.88
120.34
127.65
134.26
141.83",113.88120.34127.65134.26141.83,,,20,1
nan,3rd day by 5 p.m.6,"148.15
154.80
160.04
165.86
172.93",148.15154.80160.04165.86172.93,,,20,1
nan,3rd day by 5 p.m.6,"178.60
185.27
186.96
187.82
204.47",178.60185.27186.96187.82204.47,,,20,1
nan,3rd day by 5 p.m.6,"210.70
217.24
224.23
231.21
237.83",210.70217.24224.23231.21237.83,,,20,1
nan,3rd day by 5 p.m.6,"244.29
245.14
246.09
264.77
266.65",244.29245.14246.09264.77266.65,,,20,1
nan,3rd day by 5 p.m.6,"278.30
279.47
280.01
290.57
301.07",278.30279.47280.01290.57301.07,,,20,1
nan,3rd day by 5 p.m.6,"307.50
314.15
321.45
322.19
323.19",307.50314.15321.45322.19323.19,,,20,1
nan,3rd day by 5 p.m.6,"343.01
345.01
354.77
355.76",343.01345.01354.77355.76,,,20,1
