weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
nan,Next day by 8 or 8:30 a.m.4,"350.69
352.89
360.56
361.33
362.76",350.69352.89360.56361.33362.76,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"391.09
393.93
400.40
401.06
401.72",391.09393.93400.40401.06401.72,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"414.70
433.39
439.84
440.49
441.64",414.70433.39439.84440.49441.64,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"464.36
466.64
474.57
482.32
483.12",464.36466.64474.57482.32483.12,,,14,1
nan,Next day by 8 or 8:30 a.m.4,"498.77
500.89
501.11
501.31",498.77500.89501.11501.31,,,14,1
FedEx® Envelope,Next day by 10:30 a.m. or 11 a.m. 5,"FedEx
Priority
Overnight®",,,,14,1
up to 8 oz.,Next day by 10:30 a.m. or 11 a.m. 5,$ 57.35,57.35,57.35,8.0,14,1
FedEx® Pak,Next day by 10:30 a.m. or 11 a.m. 5,*,,,,14,1
Fed,Next day by 10:30 a.m. or 11 a.m. 5,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 10:30 a.m. or 11 a.m. 5,"$ 93.59
98.30
117.31
123.81
124.96",93.5998.30117.31123.81124.96,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"147.46
153.53
160.76
161.49
163.73",147.46153.53160.76161.49163.73,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"208.22
217.04
217.93
218.22
219.59",208.22217.04217.93218.22219.59,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"246.98
249.73
250.03
250.26
251.04",246.98249.73250.03250.26251.04,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"266.38
268.26
289.90
292.07
297.75",266.38268.26289.90292.07297.75,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"319.69
321.89
329.56
330.33
331.76",319.69321.89329.56330.33331.76,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"360.09
362.93
369.40
370.06
370.72",360.09362.93369.40370.06370.72,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"383.70
402.39
408.84
409.49
410.64",383.70402.39408.84409.49410.64,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"433.36
435.64
443.57
451.32
452.12",433.36435.64443.57451.32452.12,,,14,1
nan,Next day by 10:30 a.m. or 11 a.m. 5,"467.77
469.89
470.11
470.31",467.77469.89470.11470.31,,,14,1
FedEx® Envelope,Next day by 5 p.m.6,"FedEx
Standard
Overnight®",,,,14,1
up to 8 oz.,Next day by 5 p.m.6,$ 54.59,54.59,54.59,8.0,14,1
FedEx® Pak,Next day by 5 p.m.6,*,,,,14,1
Fed,Next day by 5 p.m.6,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,Next day by 5 p.m.6,"$ 84.01
96.37
103.36
116.03
119.73",84.0196.37103.36116.03119.73,,,14,1
nan,Next day by 5 p.m.6,"135.37
145.00
154.78
158.32
160.51",135.37145.00154.78158.32160.51,,,14,1
nan,Next day by 5 p.m.6,"185.64
194.70
202.61
210.45
214.33",185.64194.70202.61210.45214.33,,,14,1
nan,Next day by 5 p.m.6,"225.48
230.72
235.79
241.12
242.62",225.48230.72235.79241.12242.62,,,14,1
nan,Next day by 5 p.m.6,"261.14
263.00
273.30
275.85
279.67",261.14263.00273.30275.85279.67,,,14,1
nan,Next day by 5 p.m.6,"303.38
306.89
309.13
309.42
313.79",303.38306.89309.13309.42313.79,,,14,1
nan,Next day by 5 p.m.6,"338.39
345.10
348.28
352.25
352.91",338.39345.10348.28352.25352.91,,,14,1
nan,Next day by 5 p.m.6,"365.94
384.70
391.19
391.85
393.00",365.94384.70391.19391.85393.00,,,14,1
nan,Next day by 5 p.m.6,"411.88
418.09
422.02
433.47
434.62",411.88418.09422.02433.47434.62,,,14,1
nan,Next day by 5 p.m.6,"450.32
452.52
452.74
452.94",450.32452.52452.74452.94,,,14,1
FedEx® Envelope,2nd day by 10:30 a.m. or 11 a.m.5,"FedEx
2Day® A.M.",2..,,,14,1
up to 8 oz.,2nd day by 10:30 a.m. or 11 a.m.5,$ 40.85,40.85,40.85,8.0,14,1
FedEx® Pak,2nd day by 10:30 a.m. or 11 a.m.5,*,,,,14,1
Fed,2nd day by 10:30 a.m. or 11 a.m.5,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 10:30 a.m. or 11 a.m.5,"$ 46.49
51.44
59.10
68.30
76.27",46.4951.4459.1068.3076.27,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"86.40
95.42
105.94
116.98
122.62",86.4095.42105.94116.98122.62,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"124.62
145.29
151.90
161.19
172.89",124.62145.29151.90161.19172.89,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"180.48
185.15
196.42
203.62
206.96",180.48185.15196.42203.62206.96,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"218.34
225.48
233.62
237.61
250.00",218.34225.48233.62237.61250.00,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"258.51
267.28
274.13
276.28
283.83",258.51267.28274.13276.28283.83,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"295.81
304.47
312.61
322.06
325.65",295.81304.47312.61322.06325.65,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"334.37
343.43
357.77
367.54
375.88",334.37343.43357.77367.54375.88,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"384.37
385.32
393.41
409.65
417.12",384.37385.32393.41409.65417.12,,,14,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"423.65
424.43
440.02
447.64",423.65424.43440.02447.64,,,14,1
FedEx® Envelope,2nd day by 5 p.m.6,"FedEx
2Day®",2,2.0,,14,1
up to 8 oz.,2nd day by 5 p.m.6,$ 40.01,40.01,40.01,8.0,14,1
FedEx® Pak,2nd day by 5 p.m.6,*,,,,14,1
Fed,2nd day by 5 p.m.6,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 5 p.m.6,"$ 40.01
45.11
51.83
59.88
66.89",40.0145.1151.8359.8866.89,,,14,1
nan,2nd day by 5 p.m.6,"74.36
83.64
92.55
96.41
107.51",74.3683.6492.5596.41107.51,,,14,1
nan,2nd day by 5 p.m.6,"116.05
119.69
133.18
135.30
148.81",116.05119.69133.18135.30148.81,,,14,1
nan,2nd day by 5 p.m.6,"155.34
162.34
169.07
175.24
181.48",155.34162.34169.07175.24181.48,,,14,1
nan,2nd day by 5 p.m.6,"182.11
194.05
201.07
208.41
215.19",182.11194.05201.07208.41215.19,,,14,1
nan,2nd day by 5 p.m.6,"222.49
230.03
235.91
242.27
248.91",222.49230.03235.91242.27248.91,,,14,1
nan,2nd day by 5 p.m.6,"254.60
262.06
269.09
277.23
285.55",254.60262.06269.09277.23285.55,,,14,1
nan,2nd day by 5 p.m.6,"293.22
301.19
308.86
316.34
323.52",293.22301.19308.86316.34323.52,,,14,1
nan,2nd day by 5 p.m.6,"330.83
337.92
345.87
352.61
359.03",330.83337.92345.87352.61359.03,,,14,1
nan,2nd day by 5 p.m.6,"365.10
365.76
378.86
385.30",365.10365.76378.86385.30,,,14,1
FedEx® Envelope,3rd day by 5 p.m.6,"FedEx
Express
Saver®",,,,14,1
up to 8 oz.,3rd day by 5 p.m.6,$ 34.16,34.16,34.16,8.0,14,1
FedEx® Pak,3rd day by 5 p.m.6,*,,,,14,1
Fed,3rd day by 5 p.m.6,,,,,14,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,3rd day by 5 p.m.6,"$ 34.16
36.43
42.35
44.55
50.56",34.1636.4342.3544.5550.56,,,14,1
nan,3rd day by 5 p.m.6,"59.39
62.67
68.80
71.04
75.44",59.3962.6768.8071.0475.44,,,14,1
nan,3rd day by 5 p.m.6,"83.65
88.84
90.82
95.44
100.62",83.6588.8490.8295.44100.62,,,14,1
nan,3rd day by 5 p.m.6,"104.85
109.06
112.97
116.77
121.12",104.85109.06112.97116.77121.12,,,14,1
nan,3rd day by 5 p.m.6,"126.89
131.32
136.72
141.22
145.21",126.89131.32136.72141.22145.21,,,14,1
nan,3rd day by 5 p.m.6,"149.72
153.66
167.53
172.47
177.96",149.72153.66167.53172.47177.96,,,14,1
nan,3rd day by 5 p.m.6,"187.03
187.96
193.43
196.58
196.92",187.03187.96193.43196.58196.92,,,14,1
nan,3rd day by 5 p.m.6,"197.69
212.53
217.01
222.14
222.67",197.69212.53217.01222.14222.67,,,14,1
nan,3rd day by 5 p.m.6,"231.04
236.00
240.75
245.11
245.55",231.04236.00240.75245.11245.55,,,14,1
nan,3rd day by 5 p.m.6,"252.13
252.79
253.16
253.39",252.13252.79253.16253.39,,,14,1
