weight_raw,zone_raw,base_rate_raw,base_rate_clean,base_rate,weight_lb,pdf_page,table_index
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 10:30 a.m. or 11 a.m.5,"$ 40.93
43.63
48.05
56.12
62.31",40.9343.6348.0556.1262.31,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"68.06
74.35
81.14
87.11
93.04",68.0674.3581.1487.1193.04,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"93.66
106.04
111.38
117.81
122.36",93.66106.04111.38117.81122.36,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"126.36
134.93
139.56
145.27
149.24",126.36134.93139.56145.27149.24,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"157.19
161.59
166.21
172.67
178.63",157.19161.59166.21172.67178.63,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"184.44
190.98
195.48
200.16
206.72",184.44190.98195.48200.16206.72,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"211.35
212.44
221.08
224.60
225.41",211.35212.44221.08224.60225.41,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"233.67
234.52
234.83
239.78
259.91",233.67234.52234.83239.78259.91,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"261.93
270.31
274.83
279.69
283.60",261.93270.31274.83279.69283.60,,,11,1
nan,2nd day by 10:30 a.m. or 11 a.m.5,"287.90
291.92
296.23
296.67",287.90291.92296.23296.67,,,11,1
FedEx® Envelope,2nd day by 5 p.m.6,"FedEx
2Day®",2,2.0,,11,1
up to 8 oz.,2nd day by 5 p.m.6,$ 33.31,33.31,33.31,8.0,11,1
FedEx® Pak,2nd day by 5 p.m.6,*,,,,11,1
Fed,2nd day by 5 p.m.6,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,2nd day by 5 p.m.6,"$ 33.31
36.19
39.85
46.52
51.70",33.3136.1939.8546.5251.70,,,11,1
nan,2nd day by 5 p.m.6,"56.44
61.69
67.30
72.25
77.17",56.4461.6967.3072.2577.17,,,11,1
nan,2nd day by 5 p.m.6,"82.52
87.18
92.41
97.73
101.51",82.5287.1892.4197.73101.51,,,11,1
nan,2nd day by 5 p.m.6,"104.81
109.85
113.64
118.28
123.79",104.81109.85113.64118.28123.79,,,11,1
nan,2nd day by 5 p.m.6,"127.97
131.58
135.33
140.58
145.41",127.97131.58135.33140.58145.41,,,11,1
nan,2nd day by 5 p.m.6,"150.18
155.49
159.19
162.98
168.30",150.18155.49159.19162.98168.30,,,11,1
nan,2nd day by 5 p.m.6,"172.08
176.24
180.00
186.30
189.99",172.08176.24180.00186.30189.99,,,11,1
nan,2nd day by 5 p.m.6,"193.89
198.90
202.92
206.96
211.63",193.89198.90202.92206.96211.63,,,11,1
nan,2nd day by 5 p.m.6,"215.51
220.06
223.73
227.72
230.88",215.51220.06223.73227.72230.88,,,11,1
nan,2nd day by 5 p.m.6,"233.24
233.54
233.83
234.09",233.24233.54233.83234.09,,,11,1
FedEx® Envelope,3rd day by 5 p.m.6,"FedEx
Express
Saver®",,,,11,1
up to 8 oz.,3rd day by 5 p.m.6,$ 29.88,29.88,29.88,8.0,11,1
FedEx® Pak,3rd day by 5 p.m.6,*,,,,11,1
Fed,3rd day by 5 p.m.6,,,,,11,1
.sbl ni thgiew mumixam / gnigakcap rehto lla ni stnempihS,3rd day by 5 p.m.6,"$ 29.88
30.41
33.73
37.91
39.46",29.8830.4133.7337.9139.46,,,11,1
nan,3rd day by 5 p.m.6,"46.49
47.40
50.96
53.02
56.99",46.4947.4050.9653.0256.99,,,11,1
nan,3rd day by 5 p.m.6,"60.24
69.78
71.12
75.36
78.63",60.2469.7871.1275.3678.63,,,11,1
nan,3rd day by 5 p.m.6,"84.29
85.09
88.27
91.49
95.29",84.2985.0988.2791.4995.29,,,11,1
nan,3rd day by 5 p.m.6,"95.68
101.71
104.67
108.60
112.34",95.68101.71104.67108.60112.34,,,11,1
nan,3rd day by 5 p.m.6,"116.00
122.24
122.90
126.09
130.02",116.00122.24122.90126.09130.02,,,11,1
nan,3rd day by 5 p.m.6,"135.92
136.51
140.26
143.66
147.27",135.92136.51140.26143.66147.27,,,11,1
nan,3rd day by 5 p.m.6,"147.79
154.07
157.72
161.18
162.64",147.79154.07157.72161.18162.64,,,11,1
nan,3rd day by 5 p.m.6,"168.44
172.77
175.97
179.60
183.53",168.44172.77175.97179.60183.53,,,11,1
nan,3rd day by 5 p.m.6,"190.09
190.76
197.08
197.72",190.09190.76197.08197.72,,,11,1
